Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
D300248:bin_000003.fa,p__Firmicutes (UID1022),100,295,158,99.64,1.9,33.33,2810399,44193,2622,2622,30484,378,318,301,5197,4826,38.7,4.31,-100.0,-1,-1,3,289,3,0,0,0
D300248:bin_000004.fa,o__Clostridiales (UID1212),172,263,149,95.97,2.01,66.67,2279404,36616,2132,2132,48973,385,321,303,2965,2753,40.8,5.01,-100.0,-1,-1,7,253,3,0,0,0
D300248:bin_000005.fa,g__Lactobacillus (UID377),91,430,154,98.3,0.11,100.0,2029082,32890,2126,2126,29015,354,283,267,1806,1692,35.3,8.25,-100.0,-1,-1,4,425,1,0,0,0
D300248:bin_000006.fa,o__Bacteroidales (UID2657),160,492,269,96.65,7.6,82.14,2830971,34280,2233,2233,14293,438,346,330,2517,2340,36.5,4.17,-100.0,-1,-1,12,454,25,1,0,0
D300248:bin_000007.fa,k__Bacteria (UID2372),131,176,105,98.1,1.05,100.0,1901709,32461,2119,2119,10219,345,274,259,1496,1416,41.7,10.18,-100.0,-1,-1,3,171,2,0,0,0
D300248:bin_000008.fa,o__Bacteroidales (UID2716),92,487,270,96.36,1.2,9.09,2772941,43059,2582,2582,28307,408,319,303,4357,4000,39.6,5.48,-100.0,-1,-1,13,470,2,1,1,0
D300248:bin_000009.fa,g__Prevotella (UID2724),55,567,296,96.91,2.46,7.14,2989362,41100,2366,2366,36235,433,362,345,2873,2717,37.3,5.32,-100.0,-1,-1,17,536,14,0,0,0
D300248:bin_000010.fa,o__Bacteroidales (UID2716),92,487,270,94.62,2.89,27.27,2817831,40047,2265,2265,16728,445,352,335,2288,2153,38.7,4.72,-100.0,-1,-1,31,445,11,0,0,0
D300248:bin_000011.fa,o__Selenomonadales (UID1024),64,334,167,93.61,1.07,75.0,1921458,18624,1983,1983,7969,350,287,278,1562,1520,38.2,5.32,-100.0,-1,-1,21,309,4,0,0,0
D300248:bin_000012.fa,g__Prevotella (UID2724),55,567,296,95.32,3.4,22.22,2787096,44859,2303,2303,28093,433,359,339,2580,2364,37.9,5.37,-100.0,-1,-1,32,519,15,1,0,0
D300248:bin_000013.fa,k__Bacteria (UID203),5449,103,57,100.0,11.48,89.66,2267154,27749,2289,2289,18856,360,292,280,2368,2197,37.8,4.22,-100.0,-1,-1,0,76,26,1,0,0
D300248:bin_000014.fa,k__Bacteria (UID203),5449,104,58,98.28,8.95,82.61,3102588,56431,3374,3374,27868,330,261,244,3005,2760,41.5,5.86,-100.0,-1,-1,1,82,20,1,0,0
D300248:bin_000015.fa,k__Bacteria (UID203),5449,103,58,99.66,7.92,54.55,2369683,50827,2258,2258,35120,381,310,288,12737,11180,36.9,5.08,-100.0,-1,-1,1,81,15,6,0,0
D300248:bin_000016.fa,o__Bacteroidales (UID2657),160,492,269,90.06,3.61,61.11,2428699,31303,2145,2145,10107,425,338,324,2097,1947,39.3,4.45,-100.0,-1,-1,60,416,15,1,0,0
D300248:bin_000017.fa,f__Lachnospiraceae (UID1286),57,420,207,96.46,4.33,69.23,2606027,35196,2556,2556,18407,379,303,290,1518,1454,38.6,5.53,-100.0,-1,-1,9,385,26,0,0,0
D300248:bin_000018.fa,k__Bacteria (UID1453),901,171,117,82.51,7.98,52.94,2041970,37267,2173,2173,9461,333,274,257,2166,1994,36.2,5.85,-100.0,-1,-1,31,130,8,1,1,0
D300248:bin_000019.fa,o__Bacteroidales (UID2657),160,492,269,89.16,8.46,65.71,3051805,36951,2724,2724,6728,417,319,306,2405,2245,37.7,5.15,-100.0,-1,-1,52,407,32,1,0,0
D300248:bin_000020.fa,p__Firmicutes (UID1022),100,295,158,97.48,2.74,33.33,2186041,27796,2109,2109,20224,378,308,295,1483,1391,39.2,4.14,-100.0,-1,-1,20,269,6,0,0,0
D300248:bin_000021.fa,c__Epsilonproteobacteria (UID3065),111,445,271,91.25,10.51,75.0,2665814,45264,3235,3235,4746,319,240,226,2274,2085,37.4,4.63,-100.0,-1,-1,29,374,39,3,0,0
D300248:bin_000022.fa,o__Bacteroidales (UID2657),160,492,269,88.79,18.02,86.67,2537978,31903,2536,2536,4073,387,291,279,2248,2121,35.9,5.28,-100.0,-1,-1,54,358,75,5,0,0
D300248:bin_000023.fa,f__Lachnospiraceae (UID1286),57,420,207,95.6,2.51,22.22,2679902,39961,2542,2542,44845,387,315,299,3075,2865,38.8,5.8,-100.0,-1,-1,46,365,9,0,0,0
D300248:bin_000024.fa,o__Bacteroidales (UID2716),92,487,270,90.88,2.41,100.0,2345576,33637,2015,2015,12099,418,339,322,2471,2323,37.0,4.98,-100.0,-1,-1,55,426,5,1,0,0
D300248:bin_000025.fa,f__Mycoplasmataceae (UID2414),89,228,130,80.44,9.66,5.26,1476937,30165,2201,2201,16907,222,170,157,3492,3194,37.7,3.96,-100.0,-1,-1,40,167,16,4,0,1
D300248:bin_000026.fa,o__Bacteroidales (UID2716),92,487,270,94.32,3.46,61.54,2362092,35985,2124,2124,17705,411,323,306,2884,2723,39.1,5.34,-100.0,-1,-1,65,409,13,0,0,0
D300248:bin_000027.fa,o__Clostridiales (UID1212),172,261,147,89.4,0.11,0.0,1976685,19578,2046,2046,6717,347,282,272,1432,1378,38.4,4.4,-100.0,-1,-1,49,211,1,0,0,0
D300248:bin_000028.fa,k__Bacteria (UID2565),2921,152,93,89.2,29.24,11.43,1657194,27922,2014,2014,3459,302,249,235,1505,1367,37.1,10.83,-100.0,-1,-1,18,99,35,0,0,0
D300248:bin_000029.fa,f__Lachnospiraceae (UID1286),57,420,207,94.08,8.03,29.41,4668813,63872,5133,5133,8669,352,267,254,2550,2409,39.6,5.54,-100.0,-1,-1,60,336,19,5,0,0
D300248:bin_000030.fa,o__Bacteroidales (UID2716),92,487,270,91.63,2.72,50.0,2603580,36355,2195,2195,11529,423,334,318,1857,1783,37.2,5.58,-100.0,-1,-1,80,395,12,0,0,0
D300248:bin_000031.fa,o__Clostridiales (UID1226),155,278,158,76.91,3.27,37.5,1589129,17540,1763,1763,3703,342,273,263,2564,2459,40.0,6.46,-100.0,-1,-1,70,200,8,0,0,0
D300248:bin_000032.fa,f__Lachnospiraceae (UID1286),57,420,207,83.23,6.09,4.35,2195157,26039,2339,2339,6374,349,283,272,1556,1424,38.2,8.83,-100.0,-1,-1,96,303,20,1,0,0
D300248:bin_000033.fa,f__Lachnospiraceae (UID1286),57,420,207,92.56,2.82,10.0,2256709,28995,2177,2177,17489,383,312,299,2153,2014,39.2,5.87,-100.0,-1,-1,73,337,10,0,0,0
D300248:bin_000034.fa,p__Bacteroidetes (UID2605),350,316,210,77.67,6.63,24.0,1936212,26097,1933,1933,4202,393,313,299,1415,1340,40.6,4.45,-100.0,-1,-1,73,220,22,1,0,0
D300248:bin_000035.fa,o__Bacteroidales (UID2716),92,487,270,63.72,0.93,20.0,1711424,23857,1399,1399,35038,439,363,346,2449,2319,37.9,4.71,-100.0,-1,-1,157,325,5,0,0,0
D300248:bin_000036.fa,o__Bacteroidales (UID2657),160,492,269,75.95,3.97,35.29,2088895,28875,1896,1896,5313,410,322,306,1908,1781,37.4,4.98,-100.0,-1,-1,131,346,14,1,0,0
D300248:bin_000037.fa,o__Clostridiales (UID1226),155,278,158,73.8,1.27,50.0,1592648,16551,1621,1621,4001,345,284,274,1460,1395,36.3,6.13,-100.0,-1,-1,87,189,2,0,0,0
D300248:bin_000038.fa,k__Bacteria (UID203),5449,104,58,74.14,6.03,50.0,2177357,31855,1848,1848,17290,429,353,336,3248,3016,38.0,5.33,-100.0,-1,-1,51,49,4,0,0,0
D300248:bin_000039.fa,o__Bacteroidales (UID2716),92,487,270,92.96,11.33,12.24,3213284,40582,2572,2572,14011,448,346,330,2576,2409,38.0,3.99,-100.0,-1,-1,55,385,46,1,0,0
D300248:bin_000040.fa,k__Bacteria (UID203),5449,104,58,84.25,26.41,25.93,2417088,33291,2552,2552,3711,375,290,277,1413,1343,39.3,4.27,-100.0,-1,-1,21,58,24,1,0,0
D300248:bin_000041.fa,k__Bacteria (UID203),5449,104,58,69.83,0.0,0.0,1912087,28323,1799,1799,5777,400,329,313,2216,2111,38.5,5.62,-100.0,-1,-1,57,47,0,0,0,0
D300248:bin_000042.fa,o__Clostridiales (UID1120),304,249,142,87.65,37.15,3.88,3250793,61755,3521,3522,8430,327,267,249,2348,2109,42.1,5.16,-100.0,-1,-1,43,125,70,11,0,0
D300248:bin_000043.fa,o__Bacteroidales (UID2657),160,492,269,69.05,2.78,50.0,1679161,23454,1485,1485,13039,406,325,309,1580,1482,39.1,4.59,-100.0,-1,-1,182,298,11,1,0,0
D300248:bin_000044.fa,k__Bacteria (UID203),5449,104,58,68.1,1.72,0.0,2492369,35943,2203,2203,11039,421,333,317,3551,3357,38.2,5.35,-100.0,-1,-1,61,42,1,0,0,0
D300248:bin_000045.fa,o__Clostridiales (UID1212),172,261,147,75.56,5.41,40.0,1887153,19209,1984,1984,3590,329,270,260,1186,1161,36.1,9.28,-100.0,-1,-1,84,162,15,0,0,0
D300248:bin_000046.fa,o__Clostridiales (UID1212),172,263,149,68.92,7.81,9.09,1534098,25380,1671,1671,5753,335,278,263,2343,2189,40.1,5.81,-100.0,-1,-1,92,149,22,0,0,0
D300248:bin_000047.fa,k__Bacteria (UID203),5449,104,58,78.84,27.77,12.24,1886247,29306,2167,2167,3212,337,264,251,1789,1682,38.8,8.46,-100.0,-1,-1,20,54,22,7,1,0
D300248:bin_000048.fa,o__Bacteroidales (UID2657),160,492,269,77.64,3.93,33.33,2259068,26886,2069,2069,5049,399,320,307,2279,2137,38.9,5.3,-100.0,-1,-1,144,330,18,0,0,0
D300248:bin_000049.fa,p__Bacteroidetes (UID2605),350,316,210,61.05,5.7,15.0,1441750,18696,1620,1620,2608,365,281,269,1186,1110,41.3,5.31,-100.0,-1,-1,134,166,14,2,0,0
D300248:bin_000050.fa,o__Clostridiales (UID1212),172,261,147,73.24,3.16,55.56,1697737,17405,1892,1892,3880,327,265,256,1494,1425,36.0,6.72,-100.0,-1,-1,95,157,9,0,0,0
D300248:bin_000051.fa,k__Bacteria (UID2570),433,274,183,55.45,2.88,16.67,4551767,106673,3444,3445,3521,451,338,307,5157,4656,42.6,8.79,-100.0,-1,-1,107,157,9,1,0,0
D300248:bin_000052.fa,o__Clostridiales (UID1212),172,261,147,78.19,13.75,58.06,2150883,20745,2342,2342,4811,332,267,258,1512,1446,37.5,6.53,-100.0,-1,-1,83,154,22,1,1,0
D300248:bin_000053.fa,k__Bacteria (UID203),5449,104,58,62.88,13.79,12.5,2459022,33048,2519,2519,2973,365,286,273,2008,1848,37.0,4.56,-100.0,-1,-1,60,36,8,0,0,0
D300248:bin_000054.fa,k__Bacteria (UID203),5449,103,58,50.34,0.86,0.0,1124735,21177,1357,1357,3143,314,249,233,3268,2949,36.8,6.35,-100.0,-1,-1,61,41,1,0,0,0
D300249:bin_000001.fa,o__Bacteroidales (UID2716),92,487,270,93.43,1.05,83.33,2772141,39249,2202,2202,17234,447,354,336,2563,2372,38.6,4.56,-100.0,-1,-1,31,452,3,1,0,0
D300249:bin_000002.fa,c__Betaproteobacteria (UID3971),223,425,211,89.73,1.58,28.57,1876793,46953,1651,1666,30808,388,335,303,1805,1613,34.6,6.61,-100.0,-1,-1,36,382,7,0,0,0
D300249:bin_000003.fa,o__Bacteroidales (UID2617),213,406,265,94.72,2.03,57.14,2654911,38808,2361,2361,9819,415,325,308,2496,2287,37.2,5.33,-100.0,-1,-1,18,381,7,0,0,0
D300249:bin_000004.fa,g__Lactobacillus (UID377),91,430,154,98.94,0.0,0.0,1908130,30691,1932,1932,63489,360,291,275,1806,1692,35.3,7.96,-100.0,-1,-1,3,427,0,0,0,0
D300249:bin_000005.fa,p__Firmicutes (UID1022),100,295,158,97.24,2.11,80.0,2120773,16749,1907,1907,7809,356,287,278,2258,2143,38.1,6.69,-100.0,-1,-1,11,279,5,0,0,0
D300249:bin_000006.fa,o__Clostridiales (UID1226),155,278,158,93.99,1.45,33.33,2107802,22054,1907,1907,11588,386,318,307,1539,1482,36.5,5.45,-100.0,-1,-1,10,261,6,1,0,0
D300249:bin_000007.fa,o__Bacteroidales (UID2657),160,492,269,94.67,7.43,63.33,2820813,34345,2251,2251,13192,434,341,326,3308,3098,36.5,4.39,-100.0,-1,-1,17,451,21,3,0,0
D300249:bin_000008.fa,g__Prevotella (UID2724),55,567,296,95.54,1.88,37.5,2933578,46017,2416,2416,45360,440,358,339,2632,2480,38.7,5.24,-100.0,-1,-1,19,528,16,0,4,0
D300249:bin_000009.fa,o__Clostridiales (UID1212),172,263,149,97.99,1.92,25.0,2545217,41247,2432,2432,41083,381,315,298,2295,2144,40.7,4.94,-100.0,-1,-1,4,251,8,0,0,0
D300249:bin_000010.fa,o__Clostridiales (UID1212),172,263,149,95.62,2.24,100.0,1932826,23526,1838,1839,21883,384,311,298,1834,1703,36.3,5.28,-100.0,-1,-1,9,250,4,0,0,0
D300249:bin_000011.fa,c__Epsilonproteobacteria (UID3065),111,445,271,96.91,3.19,92.31,1727033,26979,1774,1774,18915,350,285,270,3118,2868,37.6,4.67,-100.0,-1,-1,11,423,10,1,0,0
D300249:bin_000012.fa,o__Selenomonadales (UID1024),64,334,167,98.68,8.06,51.85,2509720,25743,2605,2605,10912,352,283,273,2476,2254,37.9,4.25,-100.0,-1,-1,4,305,24,1,0,0
D300249:bin_000013.fa,k__Bacteria (UID203),5449,103,57,96.49,5.81,19.05,1989254,25372,1842,1842,22154,390,324,311,3010,2831,38.7,4.73,-100.0,-1,-1,2,86,12,3,0,0
D300249:bin_000014.fa,k__Bacteria (UID203),5449,103,57,100.0,11.72,84.21,2267211,27765,2287,2287,20102,358,293,281,4432,4142,37.8,4.27,-100.0,-1,-1,0,70,32,0,1,0
D300249:bin_000015.fa,o__Lactobacillales (UID355),490,333,183,94.37,2.07,16.67,1672034,25306,1743,1743,16749,349,284,270,1693,1518,34.3,4.5,-100.0,-1,-1,18,309,6,0,0,0
D300249:bin_000016.fa,f__Lachnospiraceae (UID1286),57,420,207,96.95,3.85,16.67,2323592,27862,2220,2220,26818,383,315,303,1630,1545,38.0,8.39,-100.0,-1,-1,19,389,12,0,0,0
D300249:bin_000017.fa,p__Firmicutes (UID1022),100,295,158,98.05,2.43,40.0,2230325,28391,2183,2183,20186,375,304,291,1483,1391,39.3,4.65,-100.0,-1,-1,20,270,5,0,0,0
D300249:bin_000018.fa,f__Spirochaetaceae (UID2535),33,249,143,89.84,3.85,0.0,2031735,34447,2042,2042,6309,368,302,285,2002,1881,39.6,7.24,-100.0,-1,-1,21,219,9,0,0,0
D300249:bin_000019.fa,o__Bacteroidales (UID2716),92,487,270,98.09,3.33,25.0,2736007,43756,2295,2295,34360,424,354,335,2580,2365,37.8,5.16,-100.0,-1,-1,42,435,9,1,0,0
D300249:bin_000020.fa,o__Bacteroidales (UID2657),160,492,269,85.49,2.76,61.54,2783818,33836,2491,2491,6633,421,319,306,3042,2833,37.4,5.47,-100.0,-1,-1,88,391,13,0,0,0
D300249:bin_000021.fa,o__Bacteroidales (UID2716),92,487,270,91.49,3.33,6.25,2871958,35233,2347,2347,11117,438,337,322,1582,1470,37.9,4.37,-100.0,-1,-1,60,411,16,0,0,0
D300249:bin_000022.fa,g__Mycoplasma (UID2415),53,244,133,77.73,1.86,0.0,815255,15747,1506,1506,33055,141,120,109,1714,1565,35.4,9.0,-100.0,-1,-1,45,194,5,0,0,0
D300249:bin_000023.fa,o__Bacteroidales (UID2657),160,492,269,88.39,3.29,68.75,2370838,30790,2014,2014,8581,436,352,337,3260,3060,39.3,4.21,-100.0,-1,-1,84,392,16,0,0,0
D300249:bin_000024.fa,p__Bacteroidetes (UID2605),350,316,210,83.71,5.25,30.77,2120680,29085,2144,2144,5358,384,301,288,1838,1746,38.8,4.54,-100.0,-1,-1,56,238,20,2,0,0
D300249:bin_000025.fa,o__Bacteroidales (UID2716),92,487,270,90.14,4.13,40.0,2632090,36586,2300,2300,8759,415,324,308,1649,1568,37.2,5.04,-100.0,-1,-1,71,396,20,0,0,0
D300249:bin_000026.fa,o__Bacteroidales (UID2716),92,487,270,92.69,2.8,58.33,2294744,34345,2133,2133,10332,403,312,296,2508,2313,38.9,4.7,-100.0,-1,-1,64,411,12,0,0,0
D300249:bin_000027.fa,k__Bacteria (UID1453),901,171,117,61.54,2.56,100.0,1038303,15607,1217,1217,8892,321,249,236,2231,2117,34.5,5.85,-100.0,-1,-1,50,117,4,0,0,0
D300249:bin_000028.fa,k__Bacteria (UID203),5449,104,58,81.82,12.85,48.0,3987264,63409,3853,3853,6737,397,310,294,2660,2439,39.4,5.96,-100.0,-1,-1,30,53,19,2,0,0
D300249:bin_000029.fa,f__Spirochaetaceae (UID2535),33,249,143,74.81,2.68,60.0,1760532,24435,1890,1890,4145,353,286,273,1506,1438,37.6,6.92,-100.0,-1,-1,53,191,5,0,0,0
D300249:bin_000030.fa,k__Bacteria (UID203),5449,103,57,81.77,7.02,100.0,2055257,27268,1962,1962,14926,385,314,300,2431,2279,38.6,5.95,-100.0,-1,-1,46,53,4,0,0,0
D300249:bin_000031.fa,o__Bacteroidales (UID2716),92,487,270,75.96,2.04,11.11,1647285,24578,1466,1466,13278,422,338,321,2555,2352,38.7,4.82,-100.0,-1,-1,137,341,9,0,0,0
D300249:bin_000032.fa,o__Bacteroidales (UID2716),92,487,270,73.64,0.96,33.33,1931906,27363,1607,1607,35681,426,356,339,1807,1730,38.2,5.15,-100.0,-1,-1,155,326,6,0,0,0
D300249:bin_000033.fa,o__Clostridiales (UID1212),172,263,149,75.83,3.02,0.0,1969471,24541,2174,2174,5052,348,281,269,1671,1609,39.9,6.67,-100.0,-1,-1,76,182,5,0,0,0
D300249:bin_000034.fa,o__Clostridiales (UID1212),172,263,149,72.89,1.57,25.0,2101902,25206,2187,2187,5726,345,285,274,1717,1658,39.3,5.3,-100.0,-1,-1,85,174,4,0,0,0
D300249:bin_000035.fa,f__Lachnospiraceae (UID1286),57,420,207,71.17,1.95,9.09,1649744,18603,1779,1779,3869,349,284,273,1324,1250,39.6,5.92,-100.0,-1,-1,127,282,11,0,0,0
D300249:bin_000036.fa,k__Bacteria (UID203),5449,104,58,67.41,1.72,100.0,2505581,38635,2102,2102,28255,438,354,336,2595,2397,39.1,3.96,-100.0,-1,-1,57,46,1,0,0,0
D300249:bin_000037.fa,k__Bacteria (UID203),5449,104,58,79.31,0.0,0.0,2225845,25872,1957,1959,6404,429,323,310,1730,1706,36.3,5.56,-100.0,-1,-1,51,53,0,0,0,0
D300249:bin_000038.fa,o__Selenomonadales (UID1024),64,334,167,72.68,4.02,69.23,1518790,17980,1811,1811,2940,314,245,235,1224,1088,38.0,4.12,-100.0,-1,-1,109,212,13,0,0,0
D300249:bin_000039.fa,k__Bacteria (UID203),5449,104,58,89.66,28.53,60.78,9229639,152482,8989,8989,10054,399,307,290,3422,3236,39.1,5.31,-100.0,-1,-1,18,52,27,6,1,0
D300249:bin_000040.fa,k__Bacteria (UID203),5449,104,58,71.26,0.0,0.0,2087543,26830,2006,2006,14511,390,315,302,1506,1431,39.2,4.62,-100.0,-1,-1,56,48,0,0,0,0
D300249:bin_000041.fa,k__Bacteria (UID203),5449,104,58,65.83,0.0,0.0,2021663,27655,1633,1633,48111,417,355,338,2617,2448,37.6,5.51,-100.0,-1,-1,59,45,0,0,0,0
D300249:bin_000042.fa,k__Bacteria (UID203),5449,103,58,90.88,58.7,23.29,2809507,52632,3371,3371,3504,308,249,234,1973,1817,36.8,8.07,-100.0,-1,-1,19,44,28,9,3,0
D300249:bin_000043.fa,o__Bacteroidales (UID2657),160,492,269,74.95,4.56,75.0,1941089,24019,1992,1992,3789,365,282,270,1548,1449,36.0,5.54,-100.0,-1,-1,131,341,20,0,0,0
D300249:bin_000044.fa,p__Firmicutes (UID1022),100,295,158,65.54,1.47,22.22,1907008,28964,2085,2085,4163,342,271,258,2889,2690,38.2,4.64,-100.0,-1,-1,119,167,9,0,0,0
D300249:bin_000045.fa,g__Prevotella (UID2724),55,567,296,68.06,2.8,7.69,1760085,24868,1458,1458,15849,429,359,342,1564,1461,38.4,4.26,-100.0,-1,-1,182,372,13,0,0,0
D300249:bin_000046.fa,k__Bacteria (UID203),5449,104,58,68.97,3.45,50.0,2018847,24715,2048,2048,8773,379,296,284,1395,1318,40.1,4.7,-100.0,-1,-1,59,43,2,0,0,0
D300249:bin_000047.fa,o__Clostridiales (UID1212),172,261,147,76.15,1.53,50.0,1615120,16035,1783,1783,3994,333,264,255,1157,1124,38.4,5.87,-100.0,-1,-1,94,163,4,0,0,0
D300249:bin_000048.fa,o__Bacteroidales (UID2716),92,487,270,72.37,1.85,71.43,1855236,26473,1530,1530,15037,427,352,335,2570,2371,37.1,4.41,-100.0,-1,-1,162,318,7,0,0,0
D300249:bin_000049.fa,k__Bacteria (UID1453),901,171,117,55.73,1.8,50.0,1445362,28027,1689,1689,4108,321,259,242,1575,1457,36.9,7.17,-100.0,-1,-1,70,91,9,1,0,0
D300249:bin_000050.fa,o__Clostridiales (UID1212),172,263,149,66.86,25.42,0.0,2063391,21250,2539,2539,2401,306,238,230,1197,1130,37.4,7.79,-100.0,-1,-1,93,113,47,10,0,0
D300249:bin_000051.fa,o__Bacteroidales (UID2657),160,492,269,51.86,0.5,0.0,1293491,20801,1432,1432,2679,345,270,256,1358,1262,38.7,5.44,-100.0,-1,-1,232,258,2,0,0,0
D300249:bin_000052.fa,f__Lachnospiraceae (UID1286),57,420,207,71.21,4.69,23.08,1749599,23339,1821,1821,5262,379,293,281,1351,1293,40.4,4.6,-100.0,-1,-1,165,242,13,0,0,0
D300249:bin_000053.fa,o__Clostridiales (UID1212),172,263,149,66.94,42.91,8.12,3057410,32860,3387,3387,3089,336,265,255,1121,1075,37.4,7.4,-100.0,-1,-1,76,111,48,23,3,2
D300249:bin_000054.fa,k__Bacteria (UID203),5449,104,58,56.9,1.72,0.0,1704902,25572,1439,1439,10541,424,347,329,2121,1986,37.4,4.76,-100.0,-1,-1,67,36,1,0,0,0
D300249:bin_000055.fa,o__Bacteroidales (UID2716),92,487,270,88.45,43.13,25.12,3290407,46214,2972,2972,10151,396,321,305,2471,2325,37.2,5.54,-100.0,-1,-1,83,257,119,28,0,0
D300250:bin_000001.fa,o__Selenomonadales (UID1024),64,334,167,100.0,1.22,66.67,2122136,25544,2118,2118,22825,358,296,284,4540,4249,37.7,4.3,-100.0,-1,-1,0,331,3,0,0,0
D300250:bin_000002.fa,k__Bacteria (UID1453),901,171,117,89.74,3.78,27.27,2101278,40612,2145,2145,66167,353,293,275,1973,1816,37.1,9.06,-100.0,-1,-1,13,152,5,0,1,0
D300250:bin_000003.fa,f__Lachnospiraceae (UID1286),57,420,207,94.61,0.64,50.0,2108217,27269,1886,1886,67234,403,335,321,3010,2834,38.6,4.14,-100.0,-1,-1,20,398,2,0,0,0
D300250:bin_000004.fa,o__Selenomonadales (UID1024),64,334,167,98.0,8.73,89.66,2752826,28572,2923,2923,9519,343,277,267,1615,1543,37.8,4.78,-100.0,-1,-1,4,310,17,2,1,0
D300250:bin_000005.fa,g__Lactobacillus (UID377),91,430,154,98.94,0.0,0.0,1920127,30947,1974,1974,56735,357,287,272,1806,1692,35.3,5.79,-100.0,-1,-1,3,427,0,0,0,0
D300250:bin_000006.fa,o__Clostridiales (UID1212),172,263,149,97.99,2.01,33.33,2240929,24181,2271,2271,23911,356,292,282,1649,1556,37.7,6.89,-100.0,-1,-1,3,257,3,0,0,0
D300250:bin_000007.fa,o__Clostridiales (UID1212),172,263,149,98.66,2.01,0.0,2455799,39249,2246,2246,49874,390,327,310,6508,6062,40.7,4.91,-100.0,-1,-1,3,256,4,0,0,0
D300250:bin_000008.fa,o__Bacteroidales (UID2657),160,492,269,95.91,1.67,83.33,2586691,30771,1904,1904,18361,458,368,352,2517,2340,36.5,3.94,-100.0,-1,-1,12,474,6,0,0,0
D300250:bin_000009.fa,g__Prevotella (UID2722),64,532,281,96.44,2.32,29.41,2874487,45529,2261,2261,82234,454,376,356,2632,2480,38.5,5.92,-100.0,-1,-1,12,505,14,1,0,0
D300250:bin_000010.fa,p__Firmicutes (UID1022),100,295,158,99.66,3.19,33.33,2616095,34501,2586,2586,17842,383,302,289,1503,1418,39.1,4.81,-100.0,-1,-1,2,284,9,0,0,0
D300250:bin_000011.fa,p__Firmicutes (UID1022),100,295,158,94.94,1.85,85.71,2652666,23542,2552,2552,6736,358,274,265,3299,3132,37.8,6.98,-100.0,-1,-1,10,278,7,0,0,0
D300250:bin_000012.fa,g__Prevotella (UID2724),55,567,296,94.07,2.29,19.05,2573862,37081,2240,2240,23678,423,340,323,2511,2328,38.3,4.76,-100.0,-1,-1,26,522,18,1,0,0
D300250:bin_000013.fa,o__Bacteroidales (UID2716),92,487,270,94.65,1.3,16.67,2631836,37735,2136,2136,23246,434,352,335,2534,2339,38.6,4.87,-100.0,-1,-1,29,452,6,0,0,0
D300250:bin_000014.fa,o__Clostridiales (UID1226),155,278,158,94.02,1.85,50.0,2186463,23393,2072,2072,8613,375,305,294,3280,3094,36.4,6.09,-100.0,-1,-1,15,257,6,0,0,0
D300250:bin_000015.fa,o__Bacteroidales (UID2617),213,406,265,91.08,1.46,75.0,2446723,35869,2220,2220,6727,407,320,304,2172,2020,37.2,5.43,-100.0,-1,-1,31,367,8,0,0,0
D300250:bin_000016.fa,o__Clostridiales (UID1375),50,332,124,96.73,10.58,25.0,2925021,54152,3015,3016,16911,339,282,264,3230,3017,41.6,5.48,-100.0,-1,-1,13,291,28,0,0,0
D300250:bin_000017.fa,o__Bacteroidales (UID2716),92,487,270,95.22,4.23,47.37,2360342,35615,2107,2107,15357,407,325,308,2508,2312,39.0,5.11,-100.0,-1,-1,26,442,19,0,0,0
D300250:bin_000018.fa,k__Bacteria (UID1453),901,171,117,86.73,2.56,16.67,1804532,33264,1799,1799,23867,365,299,280,2690,2484,37.0,8.18,-100.0,-1,-1,30,135,6,0,0,0
D300250:bin_000019.fa,c__Gammaproteobacteria (UID4201),1164,271,170,89.47,0.03,0.0,2079877,32008,2116,2116,4672,366,287,272,1525,1470,37.0,4.89,-100.0,-1,-1,32,238,1,0,0,0
D300250:bin_000020.fa,c__Epsilonproteobacteria (UID3065),111,445,271,93.63,5.03,95.24,1583605,23800,1688,1688,11123,345,274,260,1645,1485,37.5,5.89,-100.0,-1,-1,27,397,21,0,0,0
D300250:bin_000021.fa,o__Bacteroidales (UID2657),160,492,269,89.38,18.05,93.18,2652828,32969,2614,2614,4291,383,293,280,2448,2260,36.1,5.39,-100.0,-1,-1,59,366,58,8,1,0
D300250:bin_000022.fa,k__Bacteria (UID2329),174,149,89,93.26,5.93,0.0,1749467,40612,1774,1775,50853,361,297,274,2943,2637,39.6,6.02,-100.0,-1,-1,6,128,14,1,0,0
D300250:bin_000023.fa,o__Bacteroidales (UID2657),160,492,269,90.98,1.0,100.0,2574336,35185,2142,2142,10128,432,336,319,2465,2273,36.2,5.64,-100.0,-1,-1,53,435,4,0,0,0
D300250:bin_000024.fa,f__Veillonellaceae (UID1032),33,423,214,89.34,2.96,65.22,2108314,19674,2232,2232,6642,346,281,272,1577,1520,36.7,3.56,-100.0,-1,-1,41,363,17,2,0,0
D300250:bin_000025.fa,g__Prevotella (UID2724),55,567,296,95.44,2.03,0.0,3001034,41459,2378,2378,38240,436,361,344,2873,2719,37.2,5.21,-100.0,-1,-1,54,506,7,0,0,0
